fold_seed,model,n_rows,mae,rmse,r2
9,count_plus_BE_count,239,0.38999424523729237,0.4590352678049458,0.7548215751312735
9,count_plus_all_pairs,239,0.23032334841385121,0.2803986886638052,0.908516641569617
10,additive_head,239,0.3804460899529681,0.4510562962627731,0.7632709027100064
10,count_additive,239,0.3894996901695064,0.46422368668207564,0.7492478095130369
10,count_plus_PB_count,239,0.381495136699286,0.4407148094779187,0.7740015648483038
10,count_plus_PE_count,239,0.25844597744645226,0.311458615209349,0.887126799460069
10,count_plus_BE_count,239,0.39578850313343217,0.4664463060166726,0.746840948886978
10,count_plus_all_pairs,239,0.22821901617099746,0.27797409667138057,0.9100919044976402
11,additive_head,239,0.38630645050131507,0.4615054104243203,0.7521757864356968
11,count_additive,239,0.39410430564209464,0.47592356011428427,0.7364490704394344
11,count_plus_PB_count,239,0.38302933463887096,0.4498350208679922,0.7645510977835845
11,count_plus_PE_count,239,0.25956778417756343,0.31861277360123097,0.8818818844740384
11,count_plus_BE_count,239,0.39070762769579276,0.4660936111116784,0.7472236473867385
11,count_plus_all_pairs,239,0.22763860731476537,0.28031948508984084,0.9085683164588753
12,additive_head,239,0.3811495910885897,0.4564080367862995,0.7576200399966619
12,count_additive,239,0.389141030160303,0.4690504633486072,0.7440062975118835
12,count_plus_PB_count,239,0.3727877040497605,0.4387313976515382,0.7760311735758294
12,count_plus_PE_count,239,0.2590694169032875,0.31946253568884914,0.8812509860628216
12,count_plus_BE_count,239,0.38733607966748607,0.4660672640176926,0.7472522241958885
12,count_plus_all_pairs,239,0.22989618612865192,0.28037029996158197,0.9085351649255076
13,additive_head,239,0.3754982219720732,0.4447370770702392,0.7698575045071467
13,count_additive,239,0.38418652745140486,0.4601381081580773,0.7536420689310951
13,count_plus_PB_count,239,0.37344610775862663,0.4386388911235983,0.7761256112857983
13,count_plus_PE_count,239,0.2603562058392453,0.316588634703503,0.88337791999788
13,count_plus_BE_count,239,0.3804387861739214,0.4506033209127668,0.7637461365211845
13,count_plus_all_pairs,239,0.23041907632123232,0.2806757912898988,0.9083357362656012
14,additive_head,239,0.3764125160504662,0.449414195606445,0.7649914214344974
14,count_additive,239,0.3799066735312072,0.4551518597473288,0.7589524141657646
14,count_plus_PB_count,239,0.3736450929586369,0.4355336406864928,0.7792841334633734
14,count_plus_PE_count,239,0.25419801925442986,0.30608326805956454,0.8909892513056448
14,count_plus_BE_count,239,0.3760036332553296,0.44778331533352655,0.7666939730326373
14,count_plus_all_pairs,239,0.23037188607240175,0.27750666611539815,0.91039402226396
15,additive_head,239,0.38186879402752855,0.4566557364720594,0.757356881915692
15,count_additive,239,0.38873239356906897,0.46522519189861217,0.7481647087381063
15,count_plus_PB_count,239,0.3771470365278527,0.4395019831345979,0.7752437273489199
15,count_plus_PE_count,239,0.25625907366203166,0.3123134790922915,0.8865063405096045
15,count_plus_BE_count,239,0.38671490261888836,0.45910342807212257,0.7547487586449473
15,count_plus_all_pairs,239,0.224080690528792,0.27570131857881136,0.9115561112915487
16,additive_head,239,0.38144725101226407,0.4517215513603878,0.762572092489848
16,count_additive,239,0.3898193080641122,0.4660814403389129,0.7472368483545604
16,count_plus_PB_count,239,0.3844693959759571,0.4477771096071945,0.7667004396573319
16,count_plus_PE_count,239,0.26428429284922644,0.3205698400117245,0.8804263561555239
16,count_plus_BE_count,239,0.3877324975330418,0.4606045316812207,0.7531423695125985
16,count_plus_all_pairs,239,0.23447146953047807,0.2870942429905617,0.9040954723493794
17,additive_head,239,0.3789284065875827,0.4495707215142626,0.7648276912392638
17,count_additive,239,0.38256798057519814,0.4560677206163144,0.7579813617116755
17,count_plus_PB_count,239,0.36781612894197174,0.43113393966586994,0.7837208926723315
17,count_plus_PE_count,239,0.2653707829740723,0.3222483464207213,0.8791709007177312
17,count_plus_BE_count,239,0.37716103513470667,0.4478939110868748,0.7665787126316188
17,count_plus_all_pairs,239,0.23176821048677954,0.28403392646042996,0.9061291872579912
18,additive_head,239,0.38117508206198186,0.45105290344248206,0.7632744640227325
18,count_additive,239,0.39052836739805297,0.46407637845671845,0.7494069224607527
18,count_plus_PB_count,239,0.37833872734169444,0.4408406687606789,0.7738724652044593
18,count_plus_PE_count,239,0.269834964703802,0.3289437259281022,0.8740977887628003
18,count_plus_BE_count,239,0.38540140463509365,0.45604952292465245,0.7580006750394587
18,count_plus_all_pairs,239,0.23831223512178093,0.28997749728399647,0.9021594832953697
19,additive_head,239,0.38943493888436626,0.4618767765219258,0.7517767855227777
19,count_additive,239,0.39589568089538035,0.47735540006787025,0.7348608725025181
19,count_plus_PB_count,239,0.3908667523357251,0.4596347842999101,0.7541807333207963
19,count_plus_PE_count,239,0.2614642003030458,0.32126133786435507,0.8799099376594298
19,count_plus_BE_count,239,0.391392431702849,0.468322285445901,0.7448005159448409
19,count_plus_all_pairs,239,0.23378024082390783,0.2844145057587644,0.9058774622419654
