epsilon,context_seed,design_seed,mask_index,split,finite_response,atp_prediction
8.0,17,7,48,validation,1.528157114982605,0.9787976906760654
8.0,17,7,49,holdout,0.1671181619167328,0.17094841872833577
8.0,17,7,50,train,-3.055142641067505,-4.661251081091427
8.0,17,7,51,holdout,0.0223020501434803,0.09224090973536175
8.0,17,7,52,train,3.7599921226501465,4.005186176326255
8.0,17,7,53,train,-3.2375833988189697,-4.515003933262933
8.0,17,7,54,train,-3.5773167610168457,-5.333978306598154
8.0,17,7,55,train,0.8768467903137207,0.8497624460084491
8.0,17,7,56,train,-2.9118289947509766,-3.8520748732482124
8.0,17,7,57,validation,4.069225311279297,4.828931564893555
8.0,17,7,58,train,-0.18558859825134277,-0.7267701659742324
8.0,17,7,59,train,0.14923329651355743,0.31646889448165905
8.0,17,7,60,train,-1.7038909196853638,-1.903714436703428
8.0,17,7,61,train,-2.292109727859497,-3.4231166503154973
8.0,17,7,62,train,-3.516396999359131,-5.301302641757884
8.0,17,7,63,validation,2.2541399002075195,1.8596098459794583
