method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,source_file,source_dir,budget_measurements,n_components,n_pairs,lifted_dim
subset_ridge,0.1300568266602684,0.178504434624592,0.2320560860118669,1,5.0,32,0,,,,1.0,0.0197890842938618,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
finite_single,0.4996396798742781,0.1082262539187798,0.1714043786844828,2,5.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
first_order_omp,0.5824646217303777,0.0816601776763467,0.1565766947733439,2,5.0,32,0,,2.0,0.6176458324009186,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
lifted_omp,0.3502073833726264,0.1356799556859545,0.1953295130928384,2,5.0,32,0,,1.0,-0.3576475861647354,0.5,0.0,1.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
multigain_atp,0.5825166537468849,0.0816252051415076,0.1565669384084696,2,5.0,32,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
raw_atp,0.5854830568641567,0.0774234570730233,0.1560097082622527,2,5.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
scalar_cal_atp,0.5956137485220443,0.0743257755121441,0.1540914962482748,2,5.0,32,1,0.8455437690386672,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
subset_ridge,0.0271213049006846,0.1823169312796303,0.2390065636560885,2,5.0,32,0,,,,1.0,0.0674879197046105,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
finite_single,0.3490910870416498,0.1353535825288203,0.2329108277310345,0,8.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
first_order_omp,0.2125131402243999,0.1725664717440787,0.2561835429183234,0,8.0,32,0,,2.0,0.4262218179071776,0.5,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
lifted_omp,0.1640722505741186,0.1724866985864138,0.2639453046792359,0,8.0,32,0,,3.0,0.3514620215225683,0.5,0.0,0.0,0.0,runs/claim3_budget_m32/claim3_results.csv,runs/claim3_budget_m32,32,64,2016,2080
