epsilon,component,layer,bin,token_start,token_end_exclusive,finite_effect,atp_effect,atp_calibrated_effect,ridge_effect,omp_effect
8.0,14,1,6,47,55,0.06662542372941971,1.81560218334198,1.290690417377897,-0.14310891441063475,0.0
8.0,15,1,7,55,63,7.787396430969238,11.554235458374023,8.213771234181381,8.705659459105402,8.448399864724864
8.0,16,2,0,0,7,0.2574900984764099,0.14577893912792206,0.1036325476551184,0.1648173805272011,0.0
8.0,17,2,1,7,15,0.330574631690979,0.31841832399368286,0.22635987292088777,0.18849695178174028,0.0
8.0,18,2,2,15,23,0.38904041051864624,0.4169164299964905,0.29638102772787683,0.28446522340888913,0.0
8.0,19,2,3,23,31,0.3328287601470947,0.5325271487236023,0.3785673393419054,0.1101796664261601,0.0
8.0,20,2,4,31,39,0.2547352612018585,0.7146278023719788,0.5080205702416286,0.2581079505493922,0.0
8.0,21,2,5,39,47,0.41463470458984375,0.7719645500183105,0.5487805954441296,0.4619361610594015,0.0
8.0,22,2,6,47,55,0.48571231961250305,1.0246422290802002,0.7284062105941199,-0.204118935806329,0.0
8.0,23,2,7,55,63,6.490408420562744,12.527515411376953,8.905664601733186,8.537410567506887,8.338149408682424
8.0,24,3,0,0,7,0.0,0.0,0.0,0.34435651288515706,0.0
8.0,25,3,1,7,15,0.0,0.0,0.0,-0.49482675382789926,0.0
8.0,26,3,2,15,23,0.0,0.0,0.0,0.5671819599358235,0.0
8.0,27,3,3,23,31,0.0,0.0,0.0,0.0034841300612048188,0.0
8.0,28,3,4,31,39,0.0,0.0,0.0,-0.0489804805479539,0.0
8.0,29,3,5,39,47,0.0,0.0,0.0,0.11618460436871342,0.0
8.0,30,3,6,47,55,0.0,0.0,0.0,-0.5371272525794183,0.0
8.0,31,3,7,55,63,5.265496253967285,8.781098365783691,6.242380417227639,5.122547550847317,4.910011470132982
